code,current,name,name_short,gender,function,country,nationality,nationality_code,height,weight,disciplines,events,birth_date
1946334,True,LEWIS Bailey,LEWIS B,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Taekwondo'],['Men -58kg'],1997-11-07
1946337,True,SEJRANOVIC Leon,SEJRANOVIC L,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Taekwondo'],['Men -80kg'],2002-07-12
1946342,True,HYMER Stacey,HYMER S,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Taekwondo'],['Women -57kg'],1999-07-02
1946349,True,DOSA Daniel,DOSA D,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],[Men's Foil Individual],1996-01-19
1946361,True,GEMESI Csanad,GEMESI C,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Men's Sabre Individual, Men's Sabre Team]",1986-11-13
1946370,True,KOCH Mate Tamas,KOCH MT,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Men's Épée Individual, Men's Épée Team]",1999-09-17
1946373,True,MARTON Anna,MARTON A,Female,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Women's Sabre Individual, Women's Sabre Team]",1995-03-31
1946375,True,MUHARI Eszter,MUHARI E,Female,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],[Women's Épée Individual],2002-09-30
1946379,True,NAGY David,NAGY D,Male,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],[Men's Épée Team],1999-07-14
1946390,True,WILLIAN Luke,WILLIAN L,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Triathlon'],[Men's Individual],1996-10-11
1946391,True,HAUSER Matthew,HAUSER M,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Triathlon'],[Men's Individual],1998-04-03
1946392,True,van COEVORDEN Natalie,van COEVORDEN N,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Triathlon'],[Women's Individual],1992-12-22
1946393,True,LINN Sophie,LINN S,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Triathlon'],[Women's Individual],1995-03-13
1946399,True,PASZTOR Flora,PASZTOR F,Female,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],[Women's Foil Individual],1998-06-30
1946421,True,ALZINI Martina,ALZINI M,Female,Alternate Athlete,Italy,Italy,ITA,0.0,0.0,['Cycling Track'],[Women's Team Pursuit],1997-02-10
1946422,True,PUSZTAI Liza,PUSZTAI L,Female,Athlete,Hungary,Hungary,HUN,0.0,0.0,['Fencing'],"[Women's Sabre Individual, Women's Sabre Team]",2001-05-11
1946428,True,TANAKA Toshiyuki,TANAKA T,Male,Athlete,Japan,Japan,JPN,0.0,0.0,['Equestrian'],"['Eventing Individual', 'Eventing Team']",1985-02-02
